Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal
Teresa Edwards,United States,USA,Summer,1992,Barcelona,Basketball,Basketball Women'S Basketball,Bronze
Teresa Edwards,United States,USA,Summer,1996,Atlanta,Basketball,Basketball Women'S Basketball,Gold
Teresa Edwards,United States,USA,Summer,2000,Sydney,Basketball,Basketball Women'S Basketball,Gold
Torri Mechelle Edwards,United States,USA,Summer,2000,Sydney,Athletics,Athletics Women'S 4 X 100 Metres Relay,Bronze
Batrice Edwige,France,FRA,Summer,2016,Rio De Janeiro,Handball,Handball Women'S Handball,Silver
Josef Effenberger,Czechoslovakia,TCH,Summer,1928,Amsterdam,Gymnastics,Gymnastics Men'S Team All-Around,Silver
Horst Effertz,Germany,GER,Summer,1960,Roma,Rowing,Rowing Men'S Coxed Fours,Gold
Siri Eftedal (-Seland),Norway,NOR,Summer,1992,Barcelona,Handball,Handball Women'S Handball,Silver
Ayano Egami,Japan,JPN,Summer,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women'S Team,Silver
Yumi Egami-Maruyama,Japan,JPN,Summer,1984,Los Angeles,Volleyball,Volleyball Women'S Volleyball,Bronze
Henry Chandler Egan,United States,USA,Summer,1904,St. Louis,Golf,Golf Men'S Individual,Silver
Henry Chandler Egan,Western Golf Association,USA,Summer,1904,St. Louis,Golf,Golf Men'S Team,Gold
"Kenneth ""Kenny"" Egan",Ireland,IRL,Summer,2008,Beijing,Boxing,Boxing Men'S Light-Heavyweight,Silver
Walter Eugene Egan,Western Golf Association,USA,Summer,1904,St. Louis,Golf,Golf Men'S Team,Gold
Aaron Egbele,Nigeria,NGR,Summer,2004,Athina,Athletics,Athletics Men'S 4 X 100 Metres Relay,Bronze
Innocent Ejima Egbunike,Nigeria,NGR,Summer,1984,Los Angeles,Athletics,Athletics Men'S 4 X 400 Metres Relay,Bronze
Krisztina Egerszegi,Hungary,HUN,Summer,1988,Seoul,Swimming,Swimming Women'S 100 Metres Backstroke,Silver
Krisztina Egerszegi,Hungary,HUN,Summer,1988,Seoul,Swimming,Swimming Women'S 200 Metres Backstroke,Gold
Krisztina Egerszegi,Hungary,HUN,Summer,1992,Barcelona,Swimming,Swimming Women'S 100 Metres Backstroke,Gold
Krisztina Egerszegi,Hungary,HUN,Summer,1992,Barcelona,Swimming,Swimming Women'S 200 Metres Backstroke,Gold
Krisztina Egerszegi,Hungary,HUN,Summer,1992,Barcelona,Swimming,Swimming Women'S 400 Metres Individual Medley,Gold
Krisztina Egerszegi,Hungary,HUN,Summer,1996,Atlanta,Swimming,Swimming Women'S 200 Metres Backstroke,Gold
Krisztina Egerszegi,Hungary,HUN,Summer,1996,Atlanta,Swimming,Swimming Women'S 400 Metres Individual Medley,Bronze
Mrta Egervri (-Magyar),Hungary,HUN,Summer,1976,Montreal,Gymnastics,Gymnastics Women'S Uneven Bars,Bronze
Gerritjan Eggenkamp,Netherlands,NED,Summer,2004,Athina,Rowing,Rowing Men'S Coxed Eights,Silver
"Richard Phillip ""Ric"" Egington",Great Britain,GBR,Summer,2008,Beijing,Rowing,Rowing Men'S Coxed Eights,Silver
"Richard Phillip ""Ric"" Egington",Great Britain,GBR,Summer,2012,London,Rowing,Rowing Men'S Coxed Eights,Bronze
Werner Joseph Egk (Mayer-),Germany,GER,Summer,1936,Berlin,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",Gold
Hans Egli,Switzerland,SUI,Summer,1920,Antwerpen,Shooting,"Shooting Men'S Military Pistol, Team",Bronze
Nathan John Eglington,Australia,AUS,Summer,2004,Athina,Hockey,Hockey Men'S Hockey,Gold
Claes Robert Herman Vidarsson Egnell,Sweden,SWE,Summer,1952,Helsinki,Modern Pentathlon,Modern Pentathlon Men'S Team,Silver
Leslie Jean Egnot,New Zealand,NZL,Summer,1992,Barcelona,Sailing,Sailing Women'S Two Person Dinghy,Silver
Vilma Egresi,Hungary,HUN,Summer,1960,Roma,Canoeing,"Canoeing Women'S Kayak Doubles, 500 Metres",Bronze
Dursun Ali Eriba,Turkey,TUR,Summer,1956,Melbourne,Wrestling,"Wrestling Men'S Flyweight, Greco-Roman",Bronze
Ramn Eguiazbal Berroa,Spain,ESP,Summer,1920,Antwerpen,Football,Football Men'S Football,Silver
