Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal
John Lincoln Eisele,United States,USA,Summer,1908,London,Athletics,"Athletics Men'S 3 Mile, Team",Silver
Julius Eisenecker,Germany,GER,Summer,1936,Berlin,Fencing,"Fencing Men'S Foil, Team",Bronze
Julius Eisenecker,Germany,GER,Summer,1936,Berlin,Fencing,"Fencing Men'S Sabre, Team",Bronze
Rudolf Hermann Eisenmenger,Austria,AUT,Summer,1936,Berlin,Art Competitions,"Art Competitions Mixed Painting, Paintings",Silver
Lars Niclas Ekberg,Sweden,SWE,Summer,2012,London,Handball,Handball Men'S Handball,Silver
Axel Wilhelm Ekblom,Sweden,SWE,Summer,1924,Paris,Shooting,"Shooting Men'S Running Target, Double Shot, Team",Bronze
Lars Gerhard Lennart Ekdahl,May Be,SWE,Summer,1936,Berlin,Sailing,Sailing Mixed 6 Metres,Bronze
Kim Andreas Ekdahl Du Rietz,Sweden,SWE,Summer,2012,London,Handball,Handball Men'S Handball,Silver
John Wicktor Eke (Jonsson-),Sweden,SWE,Summer,1912,Stockholm,Athletics,"Athletics Men'S Cross-Country, Individual",Bronze
John Wicktor Eke (Jonsson-),Sweden,SWE,Summer,1912,Stockholm,Athletics,"Athletics Men'S Cross-Country, Team",Gold
John Ekels,Canada,CAN,Summer,1972,Munich,Sailing,Sailing Mixed Three Person Keelboat,Bronze
Bo Daniel Ekelund,Sweden,SWE,Summer,1920,Antwerpen,Athletics,Athletics Men'S High Jump,Bronze
"Kaarle Vin ""Kalle"" Ekholm",Finland,FIN,Summer,1912,Stockholm,Gymnastics,"Gymnastics Men'S Team All-Around, Free System",Silver
Eugen Georg Oskar Ekman,Finland,FIN,Summer,1960,Roma,Gymnastics,Gymnastics Men'S Pommelled Horse,Gold
Hilding Viktor Ekman,Sweden,SWE,Summer,1920,Antwerpen,Athletics,"Athletics Men'S Cross-Country, Team",Bronze
Werner Nicolai Ekman,Finland,FIN,Summer,1924,Paris,Shooting,"Shooting Men'S Trap, Team",Bronze
Emmanuel Ekpo,Nigeria,NGR,Summer,2008,Beijing,Football,Football Men'S Football,Silver
"Oskar Harald Alexius ""Alex"" Ekstrm",Sweden,SWE,Summer,1912,Stockholm,Cycling,"Cycling Men'S Road Race, Team",Gold
Hans Anders Ekstrm,Sweden,SWE,Summer,2008,Beijing,Sailing,Sailing Men'S Two Person Keelboat,Bronze
Hicham El Guerrouj,Morocco,MAR,Summer,2000,Sydney,Athletics,"Athletics Men'S 1,500 Metres",Silver
Hicham El Guerrouj,Morocco,MAR,Summer,2004,Athina,Athletics,"Athletics Men'S 1,500 Metres",Gold
Hicham El Guerrouj,Morocco,MAR,Summer,2004,Athina,Athletics,"Athletics Men'S 5,000 Metres",Gold
Ahmed Muhammad Boughera El Ouafi,France,FRA,Summer,1928,Amsterdam,Athletics,Athletics Men'S Marathon,Gold
Rachid El-Basir,Morocco,MAR,Summer,1992,Barcelona,Athletics,"Athletics Men'S 1,500 Metres",Silver
Abdel Moneim El-Gindy,United Arab Republic,UAR,Summer,1960,Roma,Boxing,Boxing Men'S Flyweight,Bronze
Nawal El-Moutawakel (-Bennis),Morocco,MAR,Summer,1984,Los Angeles,Athletics,Athletics Women'S 400 Metres Hurdles,Gold
Mohamed El-Sayed,Egypt,EGY,Summer,2004,Athina,Boxing,Boxing Men'S Heavyweight,Bronze
Muhammad Osman El-Sayed,United Arab Republic,UAR,Summer,1960,Roma,Wrestling,"Wrestling Men'S Flyweight, Greco-Roman",Silver
Khadr El-Sayed El-Touni,Egypt,EGY,Summer,1936,Berlin,Weightlifting,Weightlifting Men'S Middleweight,Gold
Elaine Estrela Moura,Brazil,BRA,Summer,2004,Athina,Football,Football Women'S Football,Silver
Kenth Enar Eldebrink,Sweden,SWE,Summer,1984,Los Angeles,Athletics,Athletics Men'S Javelin Throw,Bronze
"James Robert ""Jim"" Elder",Canada,CAN,Summer,1956,Stockholm,Equestrianism,"Equestrianism Men'S Three-Day Event, Team",Bronze
"James Robert ""Jim"" Elder",Canada,CAN,Summer,1968,Mexico City,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
Troy Elder,Australia,AUS,Summer,2000,Sydney,Hockey,Hockey Men'S Hockey,Bronze
Troy Elder,Australia,AUS,Summer,2004,Athina,Hockey,Hockey Men'S Hockey,Gold
Marlene Elejarde Daz,Cuba,CUB,Summer,1968,Mexico City,Athletics,Athletics Women'S 4 X 100 Metres Relay,Silver
Marlene Elejarde Daz,Cuba,CUB,Summer,1972,Munich,Athletics,Athletics Women'S 4 X 100 Metres Relay,Bronze
Ilona Elek-Schacherer (-Hepp),Hungary,HUN,Summer,1936,Berlin,Fencing,"Fencing Women'S Foil, Individual",Gold
Ilona Elek-Schacherer (-Hepp),Hungary,HUN,Summer,1948,London,Fencing,"Fencing Women'S Foil, Individual",Gold
Ilona Elek-Schacherer (-Hepp),Hungary,HUN,Summer,1952,Helsinki,Fencing,"Fencing Women'S Foil, Individual",Silver
Charles Ryves Maxwell Eley,Great Britain,GBR,Summer,1924,Paris,Rowing,Rowing Men'S Coxless Fours,Gold
"Jovica ""Jovan"" Elezovi",Yugoslavia,YUG,Summer,1984,Los Angeles,Handball,Handball Men'S Handball,Gold
Stefaniya Aleksandrovna Elfutina,Russia,RUS,Summer,2016,Rio De Janeiro,Sailing,Sailing Women'S Windsurfer,Bronze
Marte Eliasson,Norway,NOR,Summer,1988,Seoul,Handball,Handball Women'S Handball,Silver
Elisngela Almeida De Oliveira,Brazil,BRA,Summer,2000,Sydney,Volleyball,Volleyball Women'S Volleyball,Bronze
"Walton Glenn Eller, Iii",United States,USA,Summer,2008,Beijing,Shooting,Shooting Men'S Double Trap,Gold
Hans Eller,Germany,GER,Summer,1932,Los Angeles,Rowing,Rowing Men'S Coxed Fours,Gold
William Ellicott,Great Britain,GBR,Summer,1908,London,Shooting,"Shooting Men'S Free Pistol, 50 Yards, Team",Bronze
William Ellicott,Great Britain,GBR,Summer,1908,London,Shooting,"Shooting Men'S Running Target, Single Shot, Team",Silver
Georgia Ellinaki,Greece,GRE,Summer,2004,Athina,Water Polo,Water Polo Women'S Water Polo,Silver
Haakon Jarl Brand Ellingsen,Norway,NOR,Summer,1920,Antwerpen,Rowing,Rowing Men'S Coxed Eights,Bronze
Launceston Elliot,Great Britain,GBR,Summer,1896,Athina,Weightlifting,"Weightlifting Men'S Unlimited, One Hand",Gold
Launceston Elliot,Great Britain,GBR,Summer,1896,Athina,Weightlifting,"Weightlifting Men'S Unlimited, Two Hands",Silver
"Herbert James ""Herb"" Elliott",Australia,AUS,Summer,1960,Roma,Athletics,"Athletics Men'S 1,500 Metres",Gold
"John ""Jack"" Elliott",Great Britain,GBR,Summer,1924,Paris,Boxing,Boxing Men'S Middleweight,Silver
Peter Elliott,Great Britain,GBR,Summer,1988,Seoul,Athletics,"Athletics Men'S 1,500 Metres",Silver
"Kathleen ""Kathy"" Ellis (-Landgraf, -Greer)",United States,USA,Summer,1964,Tokyo,Swimming,Swimming Women'S 100 Metres Freestyle,Bronze
"Kathleen ""Kathy"" Ellis (-Landgraf, -Greer)",United States,USA,Summer,1964,Tokyo,Swimming,Swimming Women'S 4 X 100 Metres Freestyle Relay,Gold
"Kathleen ""Kathy"" Ellis (-Landgraf, -Greer)",United States,USA,Summer,1964,Tokyo,Swimming,Swimming Women'S 100 Metres Butterfly,Bronze
"Kathleen ""Kathy"" Ellis (-Landgraf, -Greer)",United States,USA,Summer,1964,Tokyo,Swimming,Swimming Women'S 4 X 100 Metres Medley Relay,Gold
Marcus John Ellis,Great Britain,GBR,Summer,2016,Rio De Janeiro,Badminton,Badminton Men'S Doubles,Bronze
Romallis Ellis,United States,USA,Summer,1988,Seoul,Boxing,Boxing Men'S Lightweight,Bronze
Taylor Ellis-Watson,United States,USA,Summer,2016,Rio De Janeiro,Athletics,Athletics Women'S 4 X 400 Metres Relay,Gold
Adrian Charles Ellison,Great Britain,GBR,Summer,1984,Los Angeles,Rowing,Rowing Men'S Coxed Fours,Gold
Brady Lee Ellison,United States,USA,Summer,2012,London,Archery,Archery Men'S Team,Silver
Brady Lee Ellison,United States,USA,Summer,2016,Rio De Janeiro,Archery,Archery Men'S Individual,Bronze
Brady Lee Ellison,United States,USA,Summer,2016,Rio De Janeiro,Archery,Archery Men'S Team,Silver
Ismail Elm Khah,Iran,IRI,Summer,1960,Roma,Weightlifting,Weightlifting Men'S Bantamweight,Bronze
"James Andrew ""Jimmy"" Elmer",Australia,AUS,Summer,2000,Sydney,Hockey,Hockey Men'S Hockey,Bronze
Lachlan Anthony Elmer,Australia,AUS,Summer,1992,Barcelona,Hockey,Hockey Men'S Hockey,Silver
Lachlan Anthony Elmer,Australia,AUS,Summer,1996,Atlanta,Hockey,Hockey Men'S Hockey,Bronze
Amanda Elmore,United States,USA,Summer,2016,Rio De Janeiro,Rowing,Rowing Women'S Coxed Eights,Gold
Fritz Erik Elmster (Pettersson-),Sweden,SWE,Summer,1948,London,Athletics,"Athletics Men'S 3,000 Metres Steeplechase",Silver
Brittany Joyce Elmslie,Australia,AUS,Summer,2012,London,Swimming,Swimming Women'S 4 X 100 Metres Freestyle Relay,Gold
Brittany Joyce Elmslie,Australia,AUS,Summer,2012,London,Swimming,Swimming Women'S 4 X 200 Metres Freestyle Relay,Silver
