Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal,Category
"Robert Peter ""Robbie"" Renwick",Great Britain,GBR,Summer,2016,Rio de Janeiro,Swimming,4x200m freestyle relay,Silver,Men
"Stephen Karl ""Steve"" Rerych",United States,USA,Summer,1968,Mexico City,Swimming,4x100m freestyle relay,Gold,Men
"Stephen Karl ""Steve"" Rerych",United States,USA,Summer,1968,Mexico City,Swimming,4x200m freestyle relay,Gold,Men
"Amedee Valle Reyburn, Jr.",Missouri Athletic Club,USA,Summer,1904,St. Louis,Swimming,4 x 50 yard freestyle relay,Bronze,Men
Peter Askin Reynolds,Australia,AUS,Summer,1964,Tokyo,Swimming,4x100m medley relay,Bronze,Men
"Stephanie Louise ""Steph"" Rice",Australia,AUS,Summer,2008,Beijing,Swimming,4x200m freestyle relay,Gold,Women
"Stephanie Louise ""Steph"" Rice",Australia,AUS,Summer,2008,Beijing,Swimming,200m individual medley,Gold,Women
"Stephanie Louise ""Steph"" Rice",Australia,AUS,Summer,2008,Beijing,Swimming,400m individual medley,Gold,Women
Leslie George Rich,United States,USA,Summer,1908,London,Swimming,4x200m freestyle relay,Bronze,Men
Michelle Richardson Armengol (-Ahlers),United States,USA,Summer,1984,Los Angeles,Swimming,800m freestyle,Silver,Women
Walter Pierce Richardson,United States,USA,Summer,1964,Tokyo,Swimming,4x100m medley relay,Gold,Men
Dirk Richter,East Germany,GDR,Summer,1988,Seoul,Swimming,4x100m freestyle relay,Bronze,Men
Dirk Richter,Germany,GER,Summer,1992,Barcelona,Swimming,4x100m freestyle relay,Bronze,Men
Ulrike Richter (-Schmidt),East Germany,GDR,Summer,1976,Montreal,Swimming,100m backstroke,Gold,Women
Ulrike Richter (-Schmidt),East Germany,GDR,Summer,1976,Montreal,Swimming,200m backstroke,Gold,Women
Ulrike Richter (-Schmidt),East Germany,GDR,Summer,1976,Montreal,Swimming,4x100m medley relay,Gold,Women
Brenton Scott Rickard,Australia,AUS,Summer,2008,Beijing,Swimming,200m breaststroke,Silver,Men
Brenton Scott Rickard,Australia,AUS,Summer,2008,Beijing,Swimming,4x100m medley relay,Silver,Men
Brenton Scott Rickard,Australia,AUS,Summer,2012,London,Swimming,4x100m medley relay,Bronze,Men
Petra Riedel,East Germany,GDR,Summer,1980,Moskva,Swimming,100m backstroke,Bronze,Women
