Athlete,NOC,Year,Season,City,Sport,Event,Medal,Country
,CHN,2020,Summer,Tokyo,Badminton,"Doubles, Men",Silver,China
,MAS,2020,Summer,Tokyo,Badminton,"Doubles, Men",Bronze,Malaysia
Chen Yufei,CHN,2020,Summer,Tokyo,Badminton,"Singles, Women",Gold,China
Tai Tzu-Ying,TPE,2020,Summer,Tokyo,Badminton,"Singles, Women",Silver,Taiwan
P. V. Sindhu,IND,2020,Summer,Tokyo,Badminton,"Singles, Women",Bronze,India
,INA,2020,Summer,Tokyo,Badminton,"Doubles, Women",Gold,Indonesia
,CHN,2020,Summer,Tokyo,Badminton,"Doubles, Women",Silver,China
,KOR,2020,Summer,Tokyo,Badminton,"Doubles, Women",Bronze,South Korea
,CHN,2020,Summer,Tokyo,Badminton,"Doubles, Mixed",Gold,China
,CHN,2020,Summer,Tokyo,Badminton,"Doubles, Mixed",Silver,China
,JPN,2020,Summer,Tokyo,Badminton,"Doubles, Mixed",Bronze,Japan
,JPN,2020,Summer,Tokyo,Baseball,"Baseball, Men",Gold,Japan
,USA,2020,Summer,Tokyo,Baseball,"Baseball, Men",Silver,United States
,DOM,2020,Summer,Tokyo,Baseball,"Baseball, Men",Bronze,Dominican Republic
,USA,2020,Summer,Tokyo,Basketball,"Basketball, Men",Gold,United States
,FRA,2020,Summer,Tokyo,Basketball,"Basketball, Men",Silver,France
,AUS,2020,Summer,Tokyo,Basketball,"Basketball, Men",Bronze,Australia
,USA,2020,Summer,Tokyo,Basketball,"Basketball, Women",Gold,United States
,JPN,2020,Summer,Tokyo,Basketball,"Basketball, Women",Silver,Japan
,FRA,2020,Summer,Tokyo,Basketball,"Basketball, Women",Bronze,France
,NOR,2020,Summer,Tokyo,Beach Volleyball,"Beach Volleyball, Men",Gold,Norway
,ROC,2020,Summer,Tokyo,Beach Volleyball,"Beach Volleyball, Men",Silver,Russia
,QAT,2020,Summer,Tokyo,Beach Volleyball,"Beach Volleyball, Men",Bronze,Qatar
,USA,2020,Summer,Tokyo,Beach Volleyball,"Beach Volleyball, Women",Gold,United States
,AUS,2020,Summer,Tokyo,Beach Volleyball,"Beach Volleyball, Women",Silver,Australia
,SUI,2020,Summer,Tokyo,Beach Volleyball,"Beach Volleyball, Women",Bronze,Switzerland
Galal Yafai,GBR,2020,Summer,Tokyo,Boxing,"Flyweight, Men",Gold,UK
Carlo Paalam,PHI,2020,Summer,Tokyo,Boxing,"Flyweight, Men",Silver,Philippines
Albert Batyrgaziyev,ROC,2020,Summer,Tokyo,Boxing,"Featherweight, Men",Gold,Russia
Duke Ragan,USA,2020,Summer,Tokyo,Boxing,"Featherweight, Men",Silver,United States
Andy Cruz,CUB,2020,Summer,Tokyo,Boxing,"Lightweight, Men",Gold,Cuba
Keyshawn Davis,USA,2020,Summer,Tokyo,Boxing,"Lightweight, Men",Silver,United States
Roniel Iglesias,CUB,2020,Summer,Tokyo,Boxing,"Welterweight, Men",Gold,Cuba
Pat McCormack,GBR,2020,Summer,Tokyo,Boxing,"Welterweight, Men",Silver,UK
Hebert Conceição,BRA,2020,Summer,Tokyo,Boxing,"Middleweight, Men",Gold,Brazil
Oleksandr Khyzhniak,UKR,2020,Summer,Tokyo,Boxing,"Middleweight, Men",Silver,Ukraine
Arlen López,CUB,2020,Summer,Tokyo,Boxing,"Light-Heavyweight, Men",Gold,Cuba
Ben Whittaker,GBR,2020,Summer,Tokyo,Boxing,"Light-Heavyweight, Men",Silver,UK
Julio César la Cruz,CUB,2020,Summer,Tokyo,Boxing,"Heavyweight, Men",Gold,Cuba
Muslim Gadzhimagomedov,ROC,2020,Summer,Tokyo,Boxing,"Heavyweight, Men",Silver,Russia
Bakhodir Dzhalolov,UZB,2020,Summer,Tokyo,Boxing,"Super-Heavyweight, Men",Gold,Uzbekistan
Richard Torrez,USA,2020,Summer,Tokyo,Boxing,"Super-Heavyweight, Men",Silver,United States
Stoyka Krasteva,BUL,2020,Summer,Tokyo,Boxing,"Flyweight, Women",Gold,Bulgaria
Buse Naz Çakıroğlu,TUR,2020,Summer,Tokyo,Boxing,"Flyweight, Women",Silver,Turkey
Sena Irie,JPN,2020,Summer,Tokyo,Boxing,"Featherweight, Women",Gold,Japan
Nesthy Petecio,PHI,2020,Summer,Tokyo,Boxing,"Featherweight, Women",Silver,Philippines
Kellie Harrington,IRL,2020,Summer,Tokyo,Boxing,"Lightweight, Women",Gold,Ireland
Beatriz Ferreira,BRA,2020,Summer,Tokyo,Boxing,"Lightweight, Women",Silver,Brazil
Busenaz Sürmeneli,TUR,2020,Summer,Tokyo,Boxing,"Welterweight, Women",Gold,Turkey
Gu Hong,CHN,2020,Summer,Tokyo,Boxing,"Welterweight, Women",Silver,China
Lauren Price,GBR,2020,Summer,Tokyo,Boxing,"Middleweight, Women",Gold,UK
Li Qian,CHN,2020,Summer,Tokyo,Boxing,"Middleweight, Women",Silver,China
Jiří Prskavec,CZE,2020,Summer,Tokyo,Canoe Slalom,"Kayak Singles, Slalom, Men",Gold,Czech Republic
Jakub Grigar,SVK,2020,Summer,Tokyo,Canoe Slalom,"Kayak Singles, Slalom, Men",Silver,Slovakia
Hannes Aigner,GER,2020,Summer,Tokyo,Canoe Slalom,"Kayak Singles, Slalom, Men",Bronze,Germany
Benjamin Savšek,SLO,2020,Summer,Tokyo,Canoe Slalom,"Canadian Singles, Slalom, Men",Gold,Slovenia
Lukáš Rohan,CZE,2020,Summer,Tokyo,Canoe Slalom,"Canadian Singles, Slalom, Men",Silver,Czech Republic
Sideris Tasiadis,GER,2020,Summer,Tokyo,Canoe Slalom,"Canadian Singles, Slalom, Men",Bronze,Germany
